Team,ID,G,First,Last,Full,Bag ID,Baggage Name,Bag Vec,Ath,Exp,Skill,Vec,Position,Dump,Back,Fore,Huck Back,Huck Fore,W/ mark,Anti Mark,Wind,Height,Weight,Age,Yr Started,Weeks Missed,Miss Tourney?,Email,Phone,Comments
,1,M,Ninon,Koh,Ninon Koh,73,,,1,3,2,6,cutter,X,X,X,X,,X,X,X,6'5",194lbs,33,2011,3,Yes,Ninon.Koh504@gmail.com,555-653-1550,
,2,M,Tricia,Adigun,Tricia Adigun,130,,,3,1,2,6,I don't know,X,,X,X,,,,,6'3",160lbs,49,2002,1,Yes,Tricia.Adigun932@gmail.com,555-981-9043,
,3,M,Dinah,Gisser,Dinah Gisser,,,,1,0,1,2,I don't know,X,,X,,,,,X,5'9",118lbs,52,2003,3,Yes,Dinah.Gisser278@gmail.com,555-597-3271,
,4,F,Lanette,Miltie,Lanette Miltie,162,,,3,1,3,7,I don't know,X,X,,,X,X,X,,5'6",206lbs,23,2006,0,No,Lanette.Miltie409@gmail.com,555-196-2648,
,5,F,Selene,Leschen,Selene Leschen,104,,,4,1,3,8,I don't know,,X,,X,X,X,,,5'4",186lbs,31,2001,2,Yes,Selene.Leschen997@gmail.com,555-482-7426,
,6,M,Kim,Kreager,Kim Kreager,,,,0,1,2,3,cutter,,,,,X,,,X,5'7",110lbs,48,2006,3,Yes,Kim.Kreager395@gmail.com,555-390-124,
,7,M,Dael,Rambow,Dael Rambow,157,,,1,2,3,6,cutter,,,X,,X,X,,X,5'9",218lbs,32,2015,2,No,Dael.Rambow651@gmail.com,555-407-9323,
,8,M,Fedora,Pinto,Fedora Pinto,,,,3,0,0,3,cutter,,,X,X,X,X,,X,6'10",193lbs,52,2014,3,No,Fedora.Pinto789@gmail.com,555-453-2510,
,9,F,Dora,Reine,Dora Reine,,,,1,1,0,2,handler,,,X,,X,X,X,,6'5",138lbs,24,2003,4,No,Dora.Reine160@gmail.com,555-638-6878,
,10,F,Ortensia,Stillas,Ortensia Stillas,19,,,4,0,3,7,I don't know,X,,,X,X,X,,,6'10",144lbs,42,2001,3,Yes,Ortensia.Stillas358@gmail.com,555-374-3275,
,11,M,Abagael,Wendelin,Abagael Wendelin,82,,,1,4,3,8,handler,,,,,,,X,X,6'8",221lbs,41,2012,1,No,Abagael.Wendelin224@gmail.com,555-267-7995,
,12,F,Florrie,Norven,Florrie Norven,,,,0,4,3,7,cutter,,X,X,X,,,X,X,5'6",216lbs,52,2014,2,No,Florrie.Norven754@gmail.com,555-262-4365,
,13,F,Jackqueline,Claresta,Jackqueline Claresta,165,,,3,0,2,5,handler,X,,,,X,,,,5'3",187lbs,20,2005,4,No,Jackqueline.Claresta869@gmail.com,555-516-9300,
,14,M,Constantine,Thera,Constantine Thera,46,,,4,0,2,6,I don't know,X,X,,X,X,,,X,5'9",123lbs,37,2002,1,No,Constantine.Thera616@gmail.com,555-187-6551,
,15,M,Kassi,Kimber,Kassi Kimber,144,,,3,4,1,8,handler,X,,,,,X,X,,6'10",157lbs,19,2002,4,Yes,Kassi.Kimber458@gmail.com,555-478-899,
,16,F,Carlene,Viole,Carlene Viole,168,,,4,3,1,8,cutter,,X,,,X,X,,,5'0",215lbs,26,2008,2,No,Carlene.Viole622@gmail.com,555-728-273,
,17,M,Vilma,Gavan,Vilma Gavan,169,,,1,0,0,1,cutter,,X,,X,,X,X,,5'1",142lbs,51,2002,0,No,Vilma.Gavan714@gmail.com,555-798-7276,
,18,F,Sissie,Hedvig,Sissie Hedvig,138,,,3,1,0,4,I don't know,,X,X,X,X,,,X,6'2",203lbs,50,2011,1,No,Sissie.Hedvig288@gmail.com,555-574-9433,
,19,F,Sherye,Faucher,Sherye Faucher,10,,,0,2,0,2,cutter,X,X,,X,X,,,,6'7",147lbs,56,2008,1,Yes,Sherye.Faucher851@gmail.com,555-813-5015,
,20,M,Farand,Tiffany,Farand Tiffany,,,,1,2,1,4,I don't know,,X,,X,X,X,X,,5'9",122lbs,33,2003,3,Yes,Farand.Tiffany57@gmail.com,555-892-4875,
,21,M,Kelsy,Volnak,Kelsy Volnak,,,,1,1,3,5,handler,,X,X,X,,X,,X,5'0",173lbs,43,2009,4,Yes,Kelsy.Volnak657@gmail.com,555-914-7142,
,22,M,Astrix,Sanford,Astrix Sanford,173,,,0,0,0,0,handler,X,X,X,X,X,,X,,5'10",209lbs,46,2002,1,Yes,Astrix.Sanford601@gmail.com,555-622-4720,
,23,M,Katusha,Sawyor,Katusha Sawyor,106,,,1,2,2,5,handler,,,,,,,X,,6'8",151lbs,40,2014,4,No,Katusha.Sawyor252@gmail.com,555-185-3736,
,24,M,Prue,Margit,Prue Margit,115,,,0,4,2,6,handler,,X,,X,X,X,X,X,6'7",216lbs,35,2007,4,Yes,Prue.Margit35@gmail.com,555-213-950,
